"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.769364275E0,-2.966054082E-1,-8.725491524E0,1.426153183E-1
1.774188234E0,-2.721304893E-1,-8.729433060E0,1.520404816E-1
1.779012088E0,-3.388025761E-1,-8.699688911E0,2.197017670E-1
1.783836098E0,-3.164291382E-1,-8.531727791E0,3.044948578E-1
1.788660004E0,-2.558795214E-1,-8.309946060E0,4.061412811E-1
1.793483911E0,-3.801673651E-1,-7.904002190E0,5.413389206E-1
1.798307869E0,-3.844799995E-1,-7.565663815E0,7.745313644E-1
1.803131775E0,-3.874256611E-1,-7.383461475E0,1.000627518E0
1.807955682E0,-4.646425843E-1,-7.090120792E0,1.079279900E0
1.812779640E0,-4.370790720E-1,-6.836948395E0,1.171094894E0
1.817603546E0,-4.647568464E-1,-6.802747250E0,1.173812866E0
1.822427504E0,-5.059897304E-1,-6.807924747E0,1.145369530E0
1.827251411E0,-3.058297634E-1,-6.859445095E0,1.026437759E0
1.832075369E0,-2.110590339E-1,-6.878367424E0,8.843183517E-1
1.836899275E0,-3.160119653E-1,-6.859581470E0,7.790098190E-1
1.841723182E0,-5.321366191E-1,-6.836059570E0,5.126533508E-1
1.846547140E0,-5.804572701E-1,-7.019305706E0,1.072692871E-1
1.851371046E0,-4.518024325E-1,-7.214972019E0,-2.124471664E-1
1.856195004E0,-6.932544708E-2,-7.493822575E0,-2.534685135E-1
